,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestEntr,0.9215740027722162,0.9708,4.912541151046753,0.31196165084838867,527.0753376483917,4.912541151046753,0.31196165084838867,527.0753376483917,1,True,7
1,RandomForestGini,0.9076543970429694,0.972,5.54755425453186,0.37328195571899414,301.93418431282043,5.54755425453186,0.37328195571899414,301.93418431282043,1,True,6
2,CatBoost,0.902572000616048,0.9772,2.8545076847076416,0.07812190055847168,6549.421641111374,2.8545076847076416,0.07812190055847168,6549.421641111374,1,True,8
3,LightGBMXT,0.8923148005544432,0.9804,36.65324330329895,0.28407716751098633,642.9516725540161,36.65324330329895,0.28407716751098633,642.9516725540161,1,True,4
4,WeightedEnsemble_L2,0.8898598490682273,0.9848,28.44044518470764,0.6503088474273682,824.6477262973785,0.12560462951660156,0.0,0.8932113647460938,2,True,14
5,NeuralNetFastAI,0.8881903588479901,0.9844,12.364946603775024,0.3510904312133789,211.47184777259827,12.364946603775024,0.3510904312133789,211.47184777259827,1,True,3
6,ExtraTreesGini,0.8863853380563684,0.9704,5.437075614929199,0.34125494956970215,43.69572854042053,5.437075614929199,0.34125494956970215,43.69572854042053,1,True,9
7,ExtraTreesEntr,0.8848698598490682,0.9708,5.173408031463623,0.35512614250183105,41.18434524536133,5.173408031463623,0.35512614250183105,41.18434524536133,1,True,10
8,LightGBM,0.8822270137070691,0.9792,38.7063775062561,0.2709779739379883,659.9177811145782,38.7063775062561,0.2709779739379883,659.9177811145782,1,True,5
9,NeuralNetTorch,0.8776836593254274,0.9828,15.949893951416016,0.29921841621398926,612.2826671600342,15.949893951416016,0.29921841621398926,612.2826671600342,1,True,12
10,LightGBMLarge,0.8705590636069613,0.9752,12.911945104598999,0.11591219902038574,363.32916712760925,12.911945104598999,0.11591219902038574,363.32916712760925,1,True,13
11,XGBoost,0.7697736023409826,0.976,13.795619487762451,0.10969233512878418,1009.0897982120514,13.795619487762451,0.10969233512878418,1009.0897982120514,1,True,11
12,KNeighborsUnif,0.5664592638225782,0.9524,1206.5204610824585,8.16045880317688,3.2833709716796875,1206.5204610824585,8.16045880317688,3.2833709716796875,1,True,1
13,KNeighborsDist,0.5656183582319421,0.9536,1189.2217154502869,7.8576109409332275,3.3439183235168457,1189.2217154502869,7.8576109409332275,3.3439183235168457,1,True,2
