,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.973017095333436,0.9792,36.4266619682312,0.2709779739379883,659.9177811145782,36.4266619682312,0.2709779739379883,659.9177811145782,1,True,5
1,LightGBMXT,0.9610349607269367,0.9804,34.44212222099304,0.28407716751098633,642.9516725540161,34.44212222099304,0.28407716751098633,642.9516725540161,1,True,4
2,LightGBMLarge,0.9576959802864623,0.9752,11.626057863235474,0.11591219902038574,363.32916712760925,11.626057863235474,0.11591219902038574,363.32916712760925,1,True,13
3,CatBoost,0.9202464192206992,0.9772,2.77642560005188,0.07812190055847168,6549.421641111374,2.77642560005188,0.07812190055847168,6549.421641111374,1,True,8
4,XGBoost,0.9103680887109195,0.976,12.982208013534546,0.10969233512878418,1009.0897982120514,12.982208013534546,0.10969233512878418,1009.0897982120514,1,True,11
5,ExtraTreesEntr,0.7862066841213615,0.9708,4.689053297042847,0.35512614250183105,41.18434524536133,4.689053297042847,0.35512614250183105,41.18434524536133,1,True,10
6,NeuralNetTorch,0.7829909132912367,0.9828,16.573220014572144,0.29921841621398926,612.2826671600342,16.573220014572144,0.29921841621398926,612.2826671600342,1,True,12
7,ExtraTreesGini,0.730669952256276,0.9704,4.807294607162476,0.34125494956970215,43.69572854042053,4.807294607162476,0.34125494956970215,43.69572854042053,1,True,9
8,RandomForestEntr,0.7113722470352688,0.9708,4.7388386726379395,0.31196165084838867,527.0753376483917,4.7388386726379395,0.31196165084838867,527.0753376483917,1,True,7
9,WeightedEnsemble_L2,0.702488834129062,0.9848,29.320373058319092,0.6503088474273682,824.6477262973785,0.1099710464477539,0.0,0.8932113647460938,2,True,14
10,NeuralNetFastAI,0.6994147543508393,0.9844,12.637181997299194,0.3510904312133789,211.47184777259827,12.637181997299194,0.3510904312133789,211.47184777259827,1,True,3
11,RandomForestGini,0.6909410133990451,0.972,5.004106760025024,0.37328195571899414,301.93418431282043,5.004106760025024,0.37328195571899414,301.93418431282043,1,True,6
12,KNeighborsUnif,0.598102572000616,0.9524,1266.5103862285614,8.16045880317688,3.2833709716796875,1266.5103862285614,8.16045880317688,3.2833709716796875,1,True,1
13,KNeighborsDist,0.5980563683967349,0.9536,1168.9908502101898,7.8576109409332275,3.3439183235168457,1168.9908502101898,7.8576109409332275,3.3439183235168457,1,True,2
